idx,criteria_name,park_id,average_score,category_id,category_name,created_at,updated_at
67,접근성,3,2.0,8,공공건축물,2023-12-20 00:50:37.14787+00,2023-12-21 05:48:20.410866+00
68,이동성,3,5.0,9,광장,2023-12-21 03:10:37.567024+00,2023-12-21 05:41:06.945736+00
69,안전성,3,5.0,9,광장,2023-12-21 03:10:37.568341+00,2023-12-21 05:41:06.934499+00
70,포용성,3,5.0,9,광장,2023-12-21 03:10:37.571467+00,2023-12-21 05:41:06.942141+00
71,정보제공성,3,1.5,8,공공건축물,2023-12-16 15:08:04.327378+00,2023-12-21 05:48:20.441669+00
72,정보제공성,3,5.0,9,광장,2023-12-21 03:10:37.56711+00,2023-12-21 05:41:06.943121+00
73,포용성,3,2.0,11,편의/지원,2023-12-20 00:42:58.351028+00,2023-12-21 04:46:35.755636+00
74,이동성,3,2.3,8,공공건축물,2023-12-16 15:08:04.277015+00,2023-12-21 05:48:20.441435+00
75,포용성,3,1.2,8,공공건축물,2023-12-16 15:08:04.329597+00,2023-12-21 05:48:20.44546+00
76,접근성,3,5.0,7,보행가로,2023-12-21 05:48:44.534502+00,
77,안전성,3,3.4,1,진입공간,2023-12-13 14:52:44.369868+00,2023-12-15 04:07:37.808238+00
78,정보제공성,3,3.6,1,진입공간,2023-12-13 14:52:44.36287+00,2023-12-15 04:07:37.808583+00
79,포용성,3,3.2,1,진입공간,2023-12-13 14:52:44.36888+00,2023-12-15 04:07:37.812276+00
80,접근성,3,4.6,2,이동공간,2023-12-14 00:22:23.550366+00,2023-12-15 05:34:29.201749+00
81,정보제공성,3,4.1,2,이동공간,2023-12-14 05:57:59.943796+00,2023-12-15 05:34:29.233159+00
82,접근성,2,1.1,1,진입공간,2023-11-07 10:02:16.389811+00,2023-12-13 12:24:46.550578+00
83,포용성,2,1.4,1,진입공간,2023-11-07 10:02:16.439626+00,2023-12-13 12:24:46.630807+00
84,정보제공성,2,1.2,1,진입공간,2023-11-07 10:02:16.45477+00,2023-12-13 12:24:46.635758+00
85,안전성,2,1.2,1,진입공간,2023-11-07 10:02:16.441005+00,2023-12-13 12:24:46.63581+00
86,이동성,3,4.9,2,이동공간,2023-12-14 00:22:23.590743+00,2023-12-15 05:34:29.234549+00
87,접근성,3,4.6,4,편의공간(편의),2023-12-14 05:36:53.69914+00,2023-12-14 06:36:55.21033+00
88,안전성,3,1.2,8,공공건축물,2023-12-16 15:08:04.336177+00,2023-12-21 05:48:20.436148+00
89,포용성,3,3.9,2,이동공간,2023-12-14 00:22:23.582637+00,2023-12-14 06:11:52.873921+00
90,안전성,3,4.6,4,편의공간(편의),2023-12-14 05:36:53.699182+00,2023-12-14 06:36:55.245528+00
91,이동성,2,1.3,1,진입공간,2023-11-07 10:02:16.439626+00,2023-11-14 02:59:14.084996+00
92,포용성,3,4.6,4,편의공간(편의),2023-12-14 05:36:53.699925+00,2023-12-14 06:36:55.24521+00
93,접근성,3,3.0,3,위생공간,2023-12-14 06:02:48.243409+00,
94,정보제공성,3,5.0,3,위생공간,2023-12-14 06:02:48.269509+00,
95,접근성,2,3.0,3,위생공간,2023-11-11 04:39:13.031006+00,2023-12-12 14:04:06.533389+00
96,안전성,2,3.0,3,위생공간,2023-11-11 04:39:13.044+00,2023-12-12 14:04:06.565832+00
97,포용성,2,3.0,3,위생공간,2023-11-11 04:39:13.034643+00,2023-12-12 14:04:06.568694+00
98,정보제공성,2,3.0,3,위생공간,2023-11-11 04:39:13.032181+00,2023-12-12 14:04:06.572352+00
99,접근성,2,3.0,5,편의공간(안내),2023-11-02 01:52:59.516822+00,2023-11-14 03:33:00.771928+00
100,안전성,2,3.0,5,편의공간(안내),2023-11-02 01:52:59.567646+00,2023-11-14 03:33:00.810547+00
101,포용성,2,3.0,5,편의공간(안내),2023-11-02 01:52:59.569832+00,2023-11-14 03:33:00.81215+00
102,정보제공성,2,3.0,5,편의공간(안내),2023-11-02 01:52:59.564455+00,2023-11-14 03:33:00.810513+00
103,정보제공성,2,1.0,2,이동공간,2023-11-11 05:21:52.122496+00,2023-12-13 00:54:56.199878+00
104,접근성,2,3.0,6,휴게공간,2023-11-02 08:25:51.923822+00,2023-12-13 01:11:16.820096+00
105,안전성,2,3.0,6,휴게공간,2023-11-02 08:25:51.975591+00,2023-12-13 01:11:16.847542+00
106,포용성,2,3.0,6,휴게공간,2023-11-02 08:25:51.975367+00,2023-12-13 01:11:16.851633+00
107,이동성,2,1.6,6,휴게공간,2023-11-02 08:22:04.574713+00,2023-12-13 01:11:16.855252+00
108,접근성,2,3.0,2,이동공간,2023-11-09 05:56:31.930748+00,2023-12-13 09:18:44.072232+00
109,이동성,2,4.0,2,이동공간,2023-11-09 05:56:31.960844+00,2023-12-13 09:18:44.103676+00
110,접근성,2,3.0,4,편의공간(편의),2023-11-02 08:35:47.685719+00,2023-11-14 03:47:08.522987+00
